fold,horizon,w0,w1,w2,w3,w4,w5
fold1,24,-0.3078,1.0,-0.7055,-0.3468,0.315,-0.0121
fold1,72,-0.2807,1.0,-0.7462,-0.1844,0.4082,-0.0425
fold2,24,-0.3202,1.0,-0.8037,-0.3935,0.3535,0.0013
fold2,72,-0.2698,1.0,-0.9035,-0.1076,0.4111,-0.0232
fold3,24,-0.2988,1.0,-0.8731,-0.2382,0.3457,-0.0275
fold3,72,-0.244,1.0,-0.9517,0.095,0.3108,-0.0349
fold4,24,-0.2914,1.0,-0.9282,-0.156,0.3218,-0.0298
fold4,72,-0.2062,0.9499,-1.0,0.279,0.1603,-0.0107
fold5,24,-0.2426,0.8424,-1.0,0.1477,0.1201,0.0061
fold5,72,-0.1874,0.8757,-1.0,0.3706,0.0632,0.0168
