fold,horizon,lambda,is_r2,val_r2,oos_strat_ann,oos_dca_ann,oos_alpha,oos_mdd,cos_nested
fold1,24,100.0,0.001282,-0.015229,0.0631,-0.2445,0.3076,0.3252,-0.0173
fold1,72,100.0,-0.002088,-0.048727,-0.0012,-0.2445,0.2433,0.3222,0.0465
fold2,24,100.0,0.002886,0.00264,-0.1479,0.2596,-0.4074,0.3705,-0.0466
fold2,72,100.0,0.002032,-0.000572,-0.094,0.2596,-0.3536,0.3088,0.0304
fold3,24,100.0,0.001792,-0.0089,0.7593,0.78,-0.0207,0.1153,-0.0264
fold3,72,100.0,0.001456,-0.010012,0.7864,0.78,0.0064,0.1186,0.0497
fold4,24,0.1,0.001423,-0.012365,0.4522,0.3526,0.0996,0.1823,-0.0237
fold4,72,0.1,0.000396,-0.029857,0.4247,0.3526,0.0722,0.1729,0.0492
fold5,24,100.0,0.00122,-0.005933,-0.1563,-0.1835,0.0272,0.3148,-0.0384
fold5,72,100.0,-0.000564,-0.023946,-0.1764,-0.1835,0.0071,0.3143,0.0407
